journal_id	publisher	issn	eissn	jif	category	edition	quartile	source_level	source_name	source_url	retrieved_on	source_artifact_sha256
nature	NATURE PORTFOLIO	0028-0836	1476-4687	56.1	MULTIDISCIPLINARY SCIENCES	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-medicine	NATURE PORTFOLIO	1078-8956	1546-170X	52.5	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-medicine	NATURE PORTFOLIO	1078-8956	1546-170X	52.5	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-medicine	NATURE PORTFOLIO	1078-8956	1546-170X	52.5	MEDICINE, RESEARCH & EXPERIMENTAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-biotechnology	NATURE PORTFOLIO	1087-0156	1546-1696	44.5	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-genetics	NATURE PORTFOLIO	1061-4036	1546-1718	25.5	GENETICS & HEREDITY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-methods	NATURE PORTFOLIO	1548-7091	1548-7105	28.3	BIOCHEMICAL RESEARCH METHODS	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-neuroscience	NATURE PORTFOLIO	1097-6256	1546-1726	20.3	NEUROSCIENCES	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-immunology	NATURE PORTFOLIO	1529-2908	1529-2916	26.5	IMMUNOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-cancer	NATURE PORTFOLIO	N/A	2662-1347	28.0	ONCOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-cell-biology	NATURE PORTFOLIO	1465-7392	1476-4679	22.7	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-microbiology	NATURE PORTFOLIO	2058-5276	2058-5276	18.7	MICROBIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-metabolism	NATURE PORTFOLIO	N/A	2522-5812	27.5	ENDOCRINOLOGY & METABOLISM	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
